مەن	мен
جوق	жоқ
سەن	сен
كەرەك	керек
ونى	оны
جاقسى	жақсы
مەنىڭ	менің
بۇل	бұл
بار	бар
ەمەس	емес
ماعان	маған
ونىڭ	оның
دەپ	деп
ٴسىز	сіз
ٴبىز	біз
مەنى	мені
ولار	олар
ٴۇشىن	үшін
ەندى	енді
دوكتور	доктор
ٴبىر	бір
نيكولاس	николас
جاتىر	жатыр
ادام	адам
ساعان	саған
نەگە	неге
عوي	ғой
سەنىڭ	сенің
سەنى	сені
وسىندا	осында
تەك	тек
وعان	оған
مالدەر	малдер
راحمەت	рахмет
پرەزيدەنت	президент
مۇمكىن	мүмкін
ەدىم	едім
بىراق	бірақ
سول	сол
وسى	осы
دۇرىس	дұрыс
وتىنەمىن	өтінемін
بولدى	болды
باسقا	басқа
ٴسىزدىڭ	сіздің
بولادى	болады
سكاللي	скалли
ەگەر	егер
بولىپ	болып
بىلمەيمىن	білмеймін
دجو	джо
مىنا	мына
ەدى	еді
كەلەدى	келеді
قايدا	қайда
تاعى	тағы
مىندا	мында
ۋگاندا	уганда
بولسا	болса
سولاي	солай
كىم	кім
شىعار	шығар
ٴسىزدى	сізді
كەشىرىڭىز	кешіріңіз
الىپ	алып
بولعان	болған
كەتتى	кетті
قالاي	қалай
ەشتەڭە	ештеңе
ٴتىرى	тірі
وتە	өте
تۋرالى	туралы
ٴبىزدىڭ	біздің
بىلەمىن	білемін
جەردە	жерде
فبر	фбр
مەنىڭشە	меніңше
ٴجۇر	жүр
جەرگە	жерге
بىزگە	бізге
سىزگە	сізге
ولاي	олай
بولار	болар
كورىپ	көріп
گاريگان	гариган
بولا	бола
ادامدار	адамдар
قان	қан
ولاردى	оларды
وندا	онда
سەبەبى	себебі
قايىرلى	қайырлы
سوندا	сонда
امين	амин
دەگەن	деген
تاڭ	таң
بىردەڭە	бірдеңе
بىرگە	бірге
قالدى	қалды
تىم	тым
ودان	одан
دەنە	дене
كەيىن	кейін
قۇداي	құдай
تۇرمىن	тұрмын
تاۋىپ	тауып
قاراشى	қарашы
جاڭا	жаңа
كەلدى	келді
قارسى	қарсы
جاتىرمىن	жатырмын
قاتتى	қатты
ەشكىم	ешкім
عانا	ғана
دەيدى	дейді
وسىلاي	осылай
ٴتيىس	тиіс
كومەك	көмек
ەكەن	екен
كەل	кел
جارايدى	жарайды
المايمىن	алмаймын
بەر	бер
انا	ана
ويلاپ	ойлап
مىرزا	мырза
ىزدەپ	іздеп
ادامدارى	адамдары
جۇمىس	жұмыс
شىن	шын
كەلگەن	келген
ٴبىزدى	бізді
كەي	кей
ەكەنىن	екенін
مۇندا	мұнда
جاعداي	жағдай
قانداي	қандай
جەردەن	жерден
مىنە	міне
توقتا	тоқта
ايتىپ	айтып
ٴتىپتى	тіпті
ارنايى	арнайы
قول	қол
تابىلعان	табылған
كەشىرىم	кешірім
دەگەنمەن	дегенмен
بۇگىن	бүгін
بولماسا	болмаса
تۇر	тұр
بىلەسىڭ	білесің
دجونا	джона
كىشكەنە	кішкене
مىناۋ	мынау
قوي	қой
سىزبەن	сізбен
ايتارىم	айтарым
جاۋاپ	жауап
سەندەر	сендер
سەنىمەن	сенімен
سونىمەن	сонымен
بولۋ	болу
ٴوزىم	өзім
بارلىق	барлық
ماككەنزي	маккензи
الايدا	алайда
سايتان	сайтан
سوندىقتان	сондықтан
ەكى	екі
اۋرۋ	ауру
قالعان	қалған
بەرشى	берші
بويى	бойы
حابار	хабар
ەدىك	едік
ويلايمىن	ойлаймын
دەيمىن	деймін
ايتتى	айтты
تاماشا	тамаша
دەن	ден
بالا	бала
بىرەۋ	біреу
كورگەن	көрген
بول	бол
بالانى	баланы
فوكس	фокс
سوڭ	соң
بولاتىن	болатын
ويلايسىڭ	ойлайсың
بىلەسىز	білесіз
سونشالىقتى	соншалықты
قايدان	қайдан
كەزدە	кезде
جاقسىمىن	жақсымын
ولارعا	оларға
شىنىمەن	шынымен
كەلدىڭىز	келдіңіз
وتىر	отыр
جونىندە	жөнінде
دەيسىز	дейсіз
سارا	сара
بىلاي	былай
اۋىرىپ	ауырып
كومەكتەسە	көмектесе
ٴسوز	сөз
قاشان	қашан
مونيكا	моника
باراتىن	баратын
قىزمەت	қызмет
اگەنت	агент
كەلە	келе
ٴولى	өлі
سىزدە	сізде
باس	бас
تەز	тез
ايتا	айта
بارلىعىن	барлығын
بىزدە	бізде
كەلىپ	келіп
ٴومىر	өмір
مىنانى	мынаны
ۆاسۆا	васва
شتاتى	штаты
مەندە	менде
تۇرىڭدار	тұрыңдар
توقتات	тоқтат
كريستيان	кристиан
قورقىپ	қорқып
بولساڭ	болсаң
سونداي	сондай
بەرەدى	береді
قاشا	қаша
كەشىر	кешір
تۇسىنەمىن	түсінемін
كەرەگى	керегі
بىلەدى	біледі
كومەگىڭ	көмегің
دانا	дана
جۇرىڭدەر	жүріңдер
ەدىڭىز	едіңіз
توقتاي	тоқтай
قايتا	қайта
الماي	алмай
قاشىپ	қашып
العان	алған
ولتىرەدى	өлтіреді
كۇتىپ	күтіп
قاراپ	қарап
قانشا	қанша
بەرگەن	берген
وبوتتىڭ	оботтың
ونىمەن	онымен
كوردىم	көрдім
قالدىم	қалдым
وسىنداي	осындай
ٴومىرىن	өмірін
ەتىپ	етіп
بەرى	бері
كەتتىك	кеттік
