مەن	мен
جوق	жоқ
سەن	сен
كەرەك	керек
ونى	оны
جاقسى	жақсы
مەنىكڭ	менің
بۇل	бұл
باو	бар
ەەس	емес
ماعان	маған
ونىڭ	оның
دەپ	деп
سىز	сіз
ٴبىز	біз
مەنى	мені
ولر	олар
ٴۇشىپ	үшін
ەپدى	енді
دوكتور	доктор
ٴبىر	бір
نيكولاس	николас
جاىر	жатыр
ادام	адам
سزاعاۆ	саған
نەىە	неге
عو	ғой
سەنىتڭ	сенің
سانى	сені
وسىپكا	осында
تتك	тек
وعاج	оған
مالدەر	малдер
راحمەت	рахмет
پرەلزپدەنت	президент
مۇمكڭ	мүмкін
ەدىم	едім
بىراق	бірақ
سول	сол
وس	осы
دۇرىس	дұрыс
وتىۋەمىل	өтінемін
چولدى	болды
باسقا	басқа
ٴسىزدى	сіздің
بولادى	болады
سۇاللي	скалли
ەگەر	егер
بوللپ	болып
بسىلمەيمبن	білмеймін
دجو	джо
مىنا	мына
ەدى	еді
كەلەدى	келеді
قايد	қайда
تسعى	тағы
مىندا	мында
ۋداندا	уганда
بوولسا	болса
سولاي	солай
كىم	кім
شىعار	шығар
تسىزدوى	сізді
كەشىرىڭىز	кешіріңіз
الۋپ	алып
نولعقان	болған
كەتتلى	кетті
قالاي	қалай
ەشتەڭە	ештеңе
ٴتىرى	тірі
وتە	өте
تۋحالى	туралы
ٴبىزدىڭ	біздің
حالەمىن	білемін
جەردت	жерде
فبر	фбр
مەنىڭشە	меніңше
ٴجۇر	жүр
جەردە	жерге
بىزگە	бізге
سىزگە	сізге
ولاي	олай
بولا	болар
كورلپ	көріп
ماييگاون	гариган
بولاب	бола
ادامدار	адамдар
قان	қан
ولاردى	оларды
وندا	онда
سەببى	себебі
قايىرى	қайырлы
سوندا	сонда
اكمي	амин
دتەگگەن	деген
تاڭ	таң
بىردەڭە	бірдеңе
بىرگە	бірге
قپلدى	қалды
فىم	тым
ودان	одан
دەرە	дене
كەيىن	кейін
قۇدىاي	құдай
تۇرمىن	тұрмын
تاۋىپ	тауып
قاراشى	қарашы
جاڭا	жаңа
كەلڭى	келді
قارى	қарсы
ججاتىرمىن	жатырмын
قاتتى	қатты
ەشكچم	ешкім
عانٴا	ғана
دەيى	дейді
وسىلسي	осылай
ستيىس	тиіс
كومەك	көмек
سەن	екен
كەل	кел
جارايدى	жарайды
المايمىن	алмаймын
بەر	бер
انا	ана
ويلاپ	ойлап
مىشزا	мырза
ىزدەپ	іздеп
ادادارى	адамдары
جاۇمىس	жұмыс
شىن	шын
كلەلگەن	келген
ٴبىزدى	бізді
كەي	кей
ەكەنىن	екенін
مٴدٴ	мұнда
جاعاي	жағдай
قانچاي	қандай
جەردەن	жерден
مىدە	міне
تتقتا	тоқта
ايتىپە	айтып
تىپتى	тіпті
انايى	арнайы
قول	қол
تابىلعمن	табылған
ۆەشىىم	кешірім
دەگەنمەن	дегенмен
بۇگىن	бүгін
بولەماسا	болмаса
تۇر	тұр
بىلۆەسىڭ	білесің
دجونا	джона
كىشڭكەنە	кішкене
مىنشۋ	мынау
قوي	қой
سىزبەح	сізбен
ايتارىم	айтарым
جاۋاپ	жауап
سەندەر	сендер
سينىزەن	сенімен
سونىمن	сонымен
بولۋ	болу
ٴوزىم	өзім
بارلىق	барлық
ىاككٴززي	маккензи
الايدا	алайда
سايتان	сайтан
سەندىقتجن	сондықтан
ەحى	екі
اۋر	ауру
قالعان	қалған
بەرشى	берші
بوٴيى	бойы
حاباە	хабар
تدىك	едік
ويلايمنن	ойлаймын
دەيمىن	деймін
ايتتڭ	айтты
تاماشا	тамаша
دەن	ден
بالاع	бала
بىرەۋ	біреу
كورگەن	көрген
بحل	бол
بالانى	баланы
حوكس	фокс
ڭوڭ	соң
بولاتىن	болатын
ويلاينسىڭ	ойлайсың
بىگەسىز	білесіз
سونشالىقتى	соншалықты
قايدان	қайдан
كەندە	кезде
جاقڭىمىن	жақсымын
وارعا	оларға
شىنىمەن	шынымен
كەلدىاز	келдіңіз
وتىر	отыр
جونىندە	жөнінде
دەيسى	дейсіз
ساچاو	сара
بىلاق	былай
اۋىرىپ	ауырып
كوحەكتەسە	көмектесе
ٴسوز	сөз
قاشا	қашан
مونيكا	моника
باراتىن	баратын
قىزمەت	қызмет
اگەنت	агент
كەلت	келе
ٴول	өлі
سىزدە	сізде
باسع	бас
تەز	тез
ايٴش	айта
بارلىعىن	барлығын
بىزدە	бізде
كەلىپ	келіп
ٴجمىر	өмір
مىلانى	мынаны
ۆاسۆا	васва
شنتى	штаты
مەندە	менде
قۇرىڭدار	тұрыңдар
توقەات	тоқтат
كريستيان	кристиан
قورقىپ	қорқып
بولعاگ	болсаң
سونداي	сондай
بەرەدى	береді
قاشا	қаша
كەەشىر	кешір
تۇسىنەمىي	түсінемін
كەرەگى	керегі
بىلەدى	біледі
كومەلگىڭ	көмегің
دانا	дана
جۇرىڭدەر	жүріңдер
ەدىڭىز	едіңіз
توقتاي	тоқтай
قايت	қайта
الماي	алмай
قاشىپ	қашып
العان	алған
وۋلتىرەدى	өлтіреді
كۇتىپ	күтіп
قاراپ	қарап
قانحشا	қанша
بەرگگەن	берген
وبوچتتج	оботтың
ونىملەن	онымен
كوردىم	көрдім
قالٴىم	қалдым
وسىندحي	осындай
ٴوقىىن	өмірін
